artist,date,time,city,title,type
贾凡,2019-12-27,20:00,珠海,我爱你，中国,concert
方书剑,2019-11-29,20:00,珠海,Cherish珍晰,concert
高杨,2019-12-21,19:00,杭州,如响应声,concert
黄子弘凡,2019-12-21,19:00,杭州,如响应声,concert
郑云龙,2019-08-10,14:00,上海,漫长的告白,stage
金圣权,2019-08-10,19:30,南京,你眼里的蓝,concert
鞠红川,2019-05-14,19:30,重庆,声入人心巡演,concert
蔡程昱,2019-05-12,19:30,长沙,声入人心巡演,concert
方书剑,2019-04-21,19:30,上海,信,stage
高杨,2019-07-11,19:30,北京,长腿叔叔,stage
龚子棋,2019-12-28,14:30,上海,火焰,stage
高杨,2019-12-01,19:30,佛山,Cherish珍晰,concert
阿云嘎,2019-07-20,19:30,上海,我们剧场见(GALA),concert
贾凡,2019-12-01,19:30,杭州,九九艳阳天,stage
廖昌永,2019-03-24,19:30,淄博,廖昌永师生音乐会,concert
陈博豪,2019-08-24,19:30,广州,你眼里的蓝,concert
郑云龙,2019-09-20,14:00,上海,德龄与慈禧,stage
高杨,2019-07-24,19:30,广州,长腿叔叔,stage
高杨,2019-06-16,19:30,西安,你眼里的蓝,concert
高杨,2019-07-17,19:30,深圳,长腿叔叔,stage
王晰,2019-11-16,19:30,海口,Cherish珍晰,concert
郑云龙,2019-08-15,19:30,上海,漫长的告白,stage
龚子棋,2019-05-14,19:30,重庆,声入人心巡演,concert
丁辉,2019-06-21,19:30,上海,幺幺洞捌,stage
翟李朔天,2019-04-14,14:00,上海,深夜食堂,stage
贾凡,2019-12-13,19:30,杭州,声入人心II巡演,concert
翟李朔天,2019-04-14,19:30,上海,深夜食堂,stage
马佳,2019-05-14,19:30,重庆,声入人心巡演,concert
马佳,2019-12-07,-,柳州,2020年我们的中国梦文化进万家启动仪式,concert
简弘亦,2019-05-03,19:30,成都,保利ART音乐节,concert
刘彬濠,2019-11-22,19:30,上海,帅小伙的蔬果店,stage
张超,2019-04-26,19:30,青岛,声入人心巡演,concert
