artist,date,time,city,state,title,type
郑云龙,2019-08-10,14:00,上海,上海,漫长的告白,stage
方书剑,2019-04-21,19:30,上海,上海,信,stage
高杨,2019-07-11,19:30,北京,北京,长腿叔叔,stage
龚子棋,2019-12-28,14:30,上海,上海,火焰,stage
贾凡,2019-12-01,19:30,杭州,浙江,九九艳阳天,stage
郑云龙,2019-09-20,14:00,上海,上海,德龄与慈禧,stage
高杨,2019-07-24,19:30,广州,广东,长腿叔叔,stage
高杨,2019-07-17,19:30,深圳,广东,长腿叔叔,stage
郑云龙,2019-08-15,19:30,上海,上海,漫长的告白,stage
丁辉,2019-06-21,19:30,上海,上海,幺幺洞捌,stage
翟李朔天,2019-04-14,14:00,上海,上海,深夜食堂,stage
翟李朔天,2019-04-14,19:30,上海,上海,深夜食堂,stage
刘彬濠,2019-11-22,19:30,上海,上海,帅小伙的蔬果店,stage
刘彬濠,2019-11-24,19:30,上海,上海,帅小伙的蔬果店,stage
陆宇鹏,2019-11-07,19:30,北京,北京,音乐之声,stage
丁辉,2019-03-03,14:30,上海,上海,暗恋桃花源,stage
郑云龙,2019-05-18,19:30,青岛,山东,信,stage
方书剑,2019-11-02,19:30,武汉,湖北,我的遗愿清单,stage
方书剑,2019-04-26,19:30,上海,上海,信,stage
丁辉,2019-07-14,14:30,上海,上海,宝岛一村,stage
丁辉,2019-03-08,19:30,上海,上海,暗恋桃花源,stage
郑云龙,2019-05-19,14:30,青岛,山东,信,stage
郑云龙,2019-09-22,19:30,上海,上海,德龄与慈禧,stage
高杨,2019-07-20,14:00,深圳,广东,长腿叔叔,stage
郑云龙,2019-03-09,14:00,北京,北京,谋杀歌谣,stage
郑云龙,2019-09-12,19:30,北京,北京,德龄与慈禧,stage
丁辉,2019-06-29,14:30,上海,上海,幺幺洞捌,stage
方书剑,2019-08-13,19:30,杭州,浙江,我的遗愿清单,stage
余笛,2019-12-24,19:30,上海,上海,火焰,stage
丁辉,2019-07-13,13:30,上海,上海,宝岛一村,stage
丁辉,2019-12-15,15:00,上海,上海,曾经如是,stage
龚子棋,2019-08-17,19:30,无锡,江苏,信,stage
郑云龙,2019-11-02,14:30,上海,上海,摇滚年代,stage
丁辉,2019-09-28,19:30,上海,上海,暗恋桃花源,stage
高杨,2019-06-30,19:30,上海,上海,长腿叔叔,stage
郑云龙,2019-04-12,19:30,上海,上海,信,stage
陆宇鹏,2019-10-26,19:30,上海,上海,音乐之声,stage
方书剑,2019-11-23,20:00,南宁,广西,我的遗愿清单,stage
高杨,2019-07-26,19:30,广州,广东,长腿叔叔,stage
