artist,date,time,city,state,title,type
王晰,2020-01-02,19:30,北京,北京,Cherish珍晰,concert
王凯,2020-01-17,19:00,北京,北京,北京新春音乐会,concert
马佳,2020-01-04,19:30,北京,北京,无限色彩,concert
阿云嘎,2020-01-03,19:30,北京,北京,乐见北京,concert
张超,2020-01-06,19:20,北京,北京,育心遇声,concert
王凯,2020-01-01,19:30,北京,北京,凯旋之夜,concert
王晰,2020-01-01,19:30,北京,北京,凯旋之夜,concert
蔡尧,2020-01-01,19:30,北京,北京,凯旋之夜,concert
廖佳琳,2020-01-01,19:30,北京,北京,凯旋之夜,concert
周深,2020-01-04,19:30,广州,广东,C-929星球,concert
廖佳琳,2020-12-12,19:30,济南,山东,倚石听声,concert
李文豹,2020-12-12,19:30,济南,山东,倚石听声,concert
洪之光,2020-01-11,19:30,广州,广东,洪之光个人独唱音乐会,concert
简弘亦,2020-01-02,19:30,北京,北京,Cherish珍晰,concert
李彦锋,2020-01-02,19:30,北京,北京,Cherish珍晰,concert
廖佳琳,2020-01-02,19:30,北京,北京,Cherish珍晰,concert
马佳,2020-01-09,19:30,上海,上海,无限色彩,concert
黄子弘凡,2020-01-11,19:30,广州,广东,洪之光个人独唱音乐会,concert
方书剑,2020-01-11,19:30,广州,广东,洪之光个人独唱音乐会,concert
南枫,2020-01-11,19:30,广州,广东,洪之光个人独唱音乐会,concert
王凯,2020-01-08,14:00,北京,北京,百花迎春·文联春节大联欢,concert
余笛,2020-01-09,19:30,上海,上海,无限色彩,concert
马佳,2020-01-08,14:00,北京,北京,百花迎春·文联春节大联欢,concert
高杨,2020-01-21,19:00,广州,广东,广州过年 花城看花,concert
星元,2020-01-21,19:00,广州,广东,广州过年 花城看花,concert
李文豹,2020-01-21,19:00,广州,广东,广州过年 花城看花,concert
贾凡,2020-01-14,19:30,北京,北京,声入人心II巡演,concert
洪之光,2020-01-14,19:30,北京,北京,声入人心II巡演,concert
贾凡,2020-05-29,19:30,上海,上海,音乐剧集锦音乐会,concert
贾凡,2020-05-30,19:30,上海,上海,音乐剧集锦音乐会,concert
丁辉,2020-05-29,19:30,上海,上海,音乐剧集锦音乐会,concert
丁辉,2020-05-30,19:30,上海,上海,音乐剧集锦音乐会,concert
翟李朔天,2020-06-19,19:30,上海,上海,千面之王,concert
金圣权,2020-06-20,19:30,上海,上海,诠释爱,concert
龚子棋,2020-06-25,19:30,上海,上海,王子与玫瑰,concert
方书剑,2020-07-11,19:30,上海,上海,长相知,concert
王凯,2020-07-12,19:30,长春,吉林,流光溢彩交响音乐会,concert
黄子弘凡,2020-07-18,19:30,上海,上海,Fine！我热爱的世界,concert
