artist,date,time,city,title,theatre,type
郑云龙,2018-12-12,20:00,腾讯视频,淘宝1212人民的宝贝总决选,,电视/直播
阿云嘎,2018-12-12,20:00,腾讯视频,淘宝1212人民的宝贝总决选,,电视/直播
王晰,2018-12-23,22:00,湖南卫视,天天向上,,电视/直播
翟李朔天,2018-12-23,22:00,湖南卫视,天天向上,,电视/直播
蔡程昱,2018-12-23,22:00,湖南卫视,天天向上,,电视/直播
郑云龙,2018-12-23,22:00,湖南卫视,天天向上,,电视/直播
阿云嘎,2018-12-23,22:00,湖南卫视,天天向上,,电视/直播
陆宇鹏,2018-12-23,22:00,湖南卫视,天天向上,,电视/直播
高天鹤,2018-12-23,22:00,湖南卫视,天天向上,,电视/直播
仝卓,2018-12-30,20:20,湖南卫视,快乐大本营,,电视/直播
石凯,2018-12-30,20:20,湖南卫视,快乐大本营,,电视/直播
高天鹤,2018-12-30,20:20,湖南卫视,快乐大本营,,电视/直播
黄子弘凡,2018-12-30,20:20,湖南卫视,快乐大本营,,电视/直播
王晰,2018-12-31,19:30,湖南卫视,跨年演唱会,,电视/直播
石凯,2018-12-31,19:30,湖南卫视,跨年演唱会,,电视/直播
蔡程昱,2018-12-31,19:30,湖南卫视,跨年演唱会,,电视/直播
郑云龙,2018-12-31,19:30,湖南卫视,跨年演唱会,,电视/直播
阿云嘎,2018-12-31,19:30,湖南卫视,跨年演唱会,,电视/直播
高天鹤,2018-12-31,19:30,湖南卫视,跨年演唱会,,电视/直播
简弘亦,2019-01-08,-,线上,歌曲「青春奕歌」,,歌曲
周深,2019-01-09,-,线上,歌曲「随风」,,歌曲
郑云龙,2019-01-13,18:30,CCTV5,CBA全明星周末,,电视/直播
阿云嘎,2019-01-13,18:30,CCTV5,CBA全明星周末,,电视/直播
刘彬濠,2019-01-13,20:00,广州,记忆乡愁,,音乐会
廖昌永,2019-01-13,20:00,广州,记忆乡愁,,音乐会
张超,2019-01-13,20:00,广州,记忆乡愁,,音乐会
方书剑,2019-01-13,20:00,广州,记忆乡愁,,音乐会
梁朋杰,2019-01-13,20:00,广州,记忆乡愁,,音乐会
蔡尧,2019-01-13,20:00,广州,记忆乡愁,,音乐会
黄子弘凡,2019-01-13,20:00,广州,记忆乡愁,,音乐会
郑云龙,2019-01-15,19:30,上海,谋杀歌谣,,舞台
郑云龙,2019-01-16,19:30,上海,谋杀歌谣,,舞台
郑云龙,2019-01-17,19:30,上海,谋杀歌谣,,舞台
郑云龙,2019-01-18,19:30,上海,谋杀歌谣,,舞台
郑云龙,2019-01-19,14:00,上海,谋杀歌谣,,舞台
鞠红川,2019-01-19,-,线上,歌曲「大船」,,歌曲
